rule_filterlist_France,blocked_etld
?468&60& <+> _468-x-60_ <+> /ads_60_ <+> /468+60. <+> -468-x-60- <+> /468__60_ <+> /ads/468/60/* <+> -468-x-60. <+> /468-x-60- <+> .468.60.gif <+> /468-x-60.,2
?ad_sub=,2
-960x80.,2
/ads120.,2
||beginningstock.com^,1
||follisspooler.com^,1
||remainmother.com^,1
||regie-agricole.com^*/pubs^$third-party,1
://reclame.,1
/npawAdAdapter.,1
||shop.pe/widget/,1
||allegemagnanimityensue.com^,1
||knucklygingely.com^,1
/intellitxt/front.,1
||adleadevent.com^$third-party,1
||developpez.com/template/offres.php?,1
"||eurolive.com^$~image,third-party",1
/wp-content/plugins/bazooka-shopping/*,1
||yonminuner.com^,1
||turfomania.fr/*-publicitaire/,1
||midgerelativelyhoax.com^,1
||capinfoproreport.batiactu.com^,1
||mickleramiant.space^,1
/grafik/ads/*,1
/regie.*/pub/*,1
||parchicky.com^,1
.js?advertID=,1
||pafutos.com^,1
||equirodi.com/images/pub/,1
||appsha1.cointraffic.io^,1
/in_ad_new. <+> /new/pu.js <+> /ads/new/*,1
||affiliatable.io^$third-party,1
||forumconstruire.com/img/letsgo/,1
||bestcontentcost.top^,1
||adwise.bg^$third-party,1
||7x4.fr^$third-party,1
||adten.eu^$third-party,1
||jumia.*/banners/,1
||shoosh.co^$third-party,1
||adwidecenter.com^$third-party,1
||mdhcdn.com^*/banner_,1
||svonm.com^$third-party,1
||cannonclam.com^,1
||fusacq.com^*/images/pub.gif,1
||digidip.net^$third-party,1
||sidehaffit.com^,1
||ojrq.net^,1
||turf-fr.com/images/*x250.,1
/promoredirect?key=,1
||location-etudiant.fr/pubs/,1
||hentaiheroes.com^$third-party,1
||adoric.com^$third-party,1
||smartstream.tv^$third-party,1
||co^*?zoneId=,1
/wadsAdsLoaded/*,1
||whoer.net^*/vpn-,1
||jeu-tarot-en-ligne.com/pubs/,1
||admysports.com^$third-party,1
/adv/*/banner/* <+> /adv/*_468 <+> /adv/*_728,1
.mk/ads/,1
||epnt.ebay.com/static/epn-smart-tools.js,1
://res.ads.,1
/adsmanager.js,1
||adverline.com^$third-party,1
||ctb.intersport.fr^,1
||adserver.pm^$third-party,1
||sameksscavage.com^,1
||holyclock.com^$third-party,1
||tecunalupine.com^,1
||whizzerrapiner.com^,1
/pop.php?said=,1
/ads_video. <+> /video/pub- <+> ://video-ads.,1
/sdkconfig.ad.,1
/newpromo.,1
://ad.*/dynamic/,1
.ad4mat.$domain=~ad4mat.com,1
||facebook.com/tr/,1
||sfstatic.net/build/js/chunk~inpagePush2-js-main-js,1
||admachina.com^$third-party,1
||non.li^$third-party,1
||mvideoporno.xxx/wp-content/uploads/*/porno,1
"||smartclip.net^$~object,third-party",1
||adme-net.com^$third-party,1
||sfstatic.net/build/js/chunk~pBlock-js-main-js,1
||ad.publicidees.com^,1
||mediaathay.org.uk^,1
||stat.ovh^,1
||azurewebsites.net/widget/,1
/kill-adblock/*,1
||ad.genybet.fr^,1
/acceptable.$~script,1
||forumconstruire.com/letsgo/,1
://ad.*/embed.,1
||play-asia.com^$third-party,1
/ad_setting?,1
||viahelium.com^$third-party,1
/clic.php?promoid=,1
||tenlinebramah.com^,1
/cdn.unblockia.com/*,1
||zmctrack.net^$third-party,1
||curvedheldideal.com^,1
||dorcelcash.com^$third-party,1
||360tracking.fr^$third-party,1
||vdo.ai^$third-party,1
||cdn.playwire.com^$domain=filehippo.com,1
||static.wui.fr/widget-uptogo/$third-party,1
||torrentgalaxy.to/common/images/*-sc.png,1
||beachinfinitegag.com^,1
/customdata/banner/*,1
||static.pornovore.fr/zboobz/,1
/delivery/rta/*,1
||hydrax.net^,1
||winds-up.com/pub/,1
||largus.fr/*/includes/javascript/advertising/,1
_adagency_,1
||dopykedges.com^,1
/eas/ads/*,1
||xxxtarget.com^,1
||iodinsbezette.com^,1
/publicidadsetup/*,1
||rutrk.org^$third-party,1
||gauleporno.xxx/assets/js/head.,1
||neriumlimn.com^,1
||i8xkjci7nd.com^,1
||dux0knkimndc1.cloudfront.net/images/pub/,1
||d2r44jb1nipto0.cloudfront.net^,1
/core-ads- <+> /core/ads_,1
||akamaized.net/images/banner/,1
||faksofta.net^,1
||cambro.tv/player/html.php,1
||salaire-brut-en-net.fr/wp-content/*/img/banners/,1
||go2cloud.org^*?offer_id=,1
||expansioneggnog.com^,1
||cashesdungier.com^,1
||bigbolz.com^$third-party,1
/wp-content/plugins/wp-banners/*,1
||trezor.io^$third-party,1
||pons.com/p/files/dict_images/widgets/,1
||plancul-gratuit.*/popupPerso/,1
/ad300-,1
/728x90Blue.,1
||sddan.com^$third-party,1
/sw/pub.js,1
_pop.php?z= <+> /assets/pop.js <+> /pop.php?id= <+> /pop.php?id_ <+> /banner/pop/* <+> /pop-ads. <+> /pub/pop.,1
/image/ad.,1
/ads_scripts/* <+> /scripts/adv_ <+> /scripts-pub.,1
/crakrevenue/*,1
||freecounterstat.com^$third-party,1
/ads/slider_,1
||missena.io^,1
||ruedesjoueurs.com/images/campagnes/habillage/,1
||aurangkavas.com^,1
/assets/adn-,1
||ledgerwallet.com/images/promo/,1
||benzoylchaitra.com^,1
-ad-bar/ <+> -sponsor-bar.js,1
||octea.com^$third-party,1
||getresponse.com^$third-party,1
://afflight.$third-party,1
||vidsrc.to/lm/,1
||goo.gl^$domain=gum-gum-streaming.com,1
||waffiemoted.com^,1
/re.clame/*,1
||vzaar.com^$domain=filehippo.com,1
||brsimg.com/pub/,1
||ledevoir.com/documents/image/pub/,1
||promo.japanhdv.com^,1
||winamax.fr/img/banners/,1
||s3.amazonaws.com^*/ads/,1
=GetAdHtml&,1
||ready-for-download.com^,1
||tpmedia-reactads.com^$third-party,1
||octopidroners.com^,1
||mrmserve.com^$third-party,1
||suppressedbottlesenjoyable.com^,1
||elainevetoed.com^,1
||discovernative.com^,1
||partners.tremorhub.com^,1
/deals.*/banners/*,1
||conduit.com^$third-party,1
/choixPubJS.,1
||bdgest.com/prepub/,1
||postinabioses.com^,1
/popup.*&ads= <+> /popup.*&pub=,1
||tools.prnewswire.com^$third-party,1
||homecinema-fr.com/images/,1
/ads/spot_code. <+> /ads?spot_,1
://engine.*&subid=,1
||sedgygalways.com^,1
/jquery.fake.,1
||mbidpp.com^,1
||videoplaza.tv^$domain=commentcamarche.com|commentcamarche.net|journaldesfemmes.com|journaldunet.com|linternaute.com,1
||agamaevascla.top^,1
||developpez.com/show_i.php,1
||seneweb.com/dynamic/modules/banners/,1
/bannercode-,1
||fluencydepressing.com^,1
||pepsia.com^$third-party,1
/footerads_,1
||fsx.i-run.fr^,1
/p_under_ <+> /p_under.,1
||adsupplyads.net^$third-party,1
||opti-digital.com^$third-party,1
||godaddy.com/getSeal?,1
||awin1.com/awclick.php?,1
||digital-metric.com^$third-party,1
||bedetheque.com/javascript/campagne?,1
||secureanalytic.com^$third-party,1
/ad-footer. <+> -ads-footer. <+> /footer-ad/*,1
/zerg-inf-multi.js,1
-ad160x600. <+> _ad160x600.,1
/banners/150x60. <+> /banner/150x60.,1
/ads_rotator. <+> ://rotator. <+> /partners/rotator. <+> /ad-rotator.,1
||jygotubvpyguak.com^$third-party,1
||turbo.fr/themes/turbo/img/333x50-,1
||sle.pagesjaunes.fr^,1
||pub.le360.ma^,1
||batiactu.com/sites/all/libraries/bati/cronjobs/specials.js,1
||zebestof.com^$third-party,1
||piximedia.com^$third-party,1
||up-banner.wavecdn.net^,1
||lesmobiles.com/img/skins/,1
||clodderpickmaw.com^,1
||eecmauks.net^,1
/advertise2.,1
||clickbank.net^$third-party,1
||getpublica.com^$third-party,1
||facebook.com/ajax/qm/,1
||easy-rencontre.com^$third-party,1
||vidmoly.to/static/vastAD.js,1
||calepinphrasal.com^,1
/script/*&cbiframe=*&cbkeywords=,1
||tokingsash.com^,1
||autoplus.fr/wp-content/plugins/voiture-occasion/,1
||ams.cdn.arkadiumhosted.com/advertisement/display/*/display-ads.js,1
||plancul-gratuit.*/disclamer.,1
"||laredoute.com/marketing/$third-party,domain=~laredoute.be|~laredoute.ch|~laredoute.co.uk|~laredoute.com|~laredoute.es|~laredoute.fr|~laredoute.gr|~laredoute.hr|~laredoute.it|~laredoute.kr|~laredoute.lu|~laredoute.ma|~laredoute.nl|~laredoute.pl|~laredoute.pt|~laredoute.ru|~laredouteliban.com",1
/sas-banner- <+> /banner/sas-,1
||zonebourse.com/content_,1
||static.lefigaro.fr/figads/,1
/regie_pub. <+> /regie_pub/* <+> /regie.js <+> _regie/aff.,1
||adnxtr.com^$third-party,1
||fiches-auto.fr/_carre_300_,1
||lothlyunfaith.com^,1
||plx.tukif.com^,1
||sfstatic.net/build/js/chunk~propellerPush-js-main-js,1
||france-troc.com/includes/inc_bandeau.php?,1
||camsoda1.com/promos/$third-party,1
||acrasiatickles.com^,1
||ailcloister.com^,1
||hostileconductive.com^,1
?adroll_adv_id=,1
||batiactu.com^*/partenaire/,1
||adback.co^$third-party,1
||bridalplums.com^,1
||weightfeathersoffhand.com^,1
||cassockknyazi.com^,1
||pwspace.com^$third-party,1
/WebAd_,1
||youborafds01.com^$third-party,1
||mirando.de^$third-party,1
||escortspots.com/static/bn/,1
||dailymotion.com^$domain=mavanimes.co,1
||sarmady.net^$third-party,1
/wgAds.,1
||igg-games.com/wp-content/uploads/2024/03/fhhd-1.jpg,1
_adreaper/,1
||clubpoker.net/medias/images/club-poker/habillages/,1
||lemondeinformatique.fr/ajax/recuperation-pub.php?,1
/skipad.,1
/zerg-inf.js,1
||coincheck.com^$third-party,1
||accidentdemocracy.com^,1
-1200x120.,1
||armhighlyexpress.com^,1
||adpaths.com^$third-party,1
||widespace.com^$third-party,1
/ads13.,1
||free-strip-games.com/images/banners/,1
||1baiser.com/image/$third-party,1
||rabbitsfreedom.com^,1
.advertica-,1
.ru/uploads/banner/ <+> .ru/uploads/banners/ <+> .ru/ads.,1
?advert_type= <+> /advert/pop/* <+> .xyz/advert/,1
||ntl.cloud^$third-party,1
/delivery/ifrm.,1
||e-media-concept.com/medias/,1
/banniere.*?said=,1
/amp-ad-exit-,1
||dampdock.com^,1
.html?placement_id=,1
||pornburst.xxx/assets/js/head.,1
||valourjaguars.com^,1
